,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,HIT,H2,H3,HR,SB,CS,BB,IB,KK,WP,BK,R,ER
0,20200801,KT,SK,0,B,0,W,0.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0
1,20200801,LT,HT,0,B,0,W,0.0,27.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3,3
2,20200801,LG,HH,0,B,0,W,1.0,27.0,8.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,6,6
3,20200801,WO,SS,0,T,0,W,1.0,27.0,8.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,7,6
4,20200801,OB,NC,0,T,0,W,1.0,30.0,15.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,10,9
5,20200801,HT,LT,0,T,0,L,0.0,24.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7,6
6,20200801,HH,LG,0,T,0,L,0.0,24.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,9,7
7,20200801,NC,OB,0,B,0,L,0.0,30.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,9.0,2.0,0.0,12,11
8,20200801,SK,KT,0,T,0,L,0.0,24.0,13.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11,11
9,20200801,SS,WO,0,B,0,L,0.0,27.0,23.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,22,21
10,20200802,LT,HT,0,B,0,W,0.0,27.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0
11,20200802,WO,SS,0,T,0,W,0.0,30.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,2,2
12,20200802,OB,NC,0,T,0,W,0.0,36.0,8.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,1.0,0.0,4,4
13,20200802,SS,WO,0,B,0,L,2.0,30.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4,4
14,20200802,NC,OB,0,B,0,L,0.0,36.0,15.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,7,6
15,20200802,HT,LT,0,T,0,L,0.0,24.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8,7
16,20200804,LT,SK,0,T,0,W,0.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0
17,20200804,KT,WO,0,T,0,W,3.0,27.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2,2
18,20200804,SS,OB,0,T,0,W,3.0,27.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3,2
19,20200804,LG,HT,0,T,0,W,1.0,27.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5,3
20,20200804,WO,KT,0,B,0,L,1.0,27.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,4,4
21,20200804,OB,SS,0,B,0,L,0.0,27.0,7.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,6,6
22,20200804,SK,LT,0,B,0,L,0.0,27.0,15.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,8,8
