,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
0,0,2020-07-21,KIA,한화,0,T,50,41,9,10,16,2,0,2,0,0,0,0,8,0,1,8,2,2,26,0.333333333,15,5
1,1,2020-07-21,SK,롯데,0,B,40,34,8,8,13,1,0,3,2,0,2,1,4,0,0,6,1,1,11,0.5,8,4
2,2,2020-07-21,KT,LG,0,B,39,34,10,10,12,0,0,3,1,0,1,0,4,0,0,7,1,1,9,0.5,8,4
3,3,2020-07-21,NC,삼성,0,B,42,38,6,6,13,3,0,3,0,0,1,0,2,1,1,7,0,0,9,0.428571429,7,3
4,4,2020-07-21,두산,키움,0,B,32,31,6,6,7,2,1,1,2,0,0,0,1,0,0,6,0,0,4,0.8,5,4
5,5,2020-07-21,LG,KT,0,T,44,38,9,9,13,4,0,2,0,0,0,0,6,0,0,7,1,1,21,0.2,10,2
6,6,2020-07-21,롯데,SK,0,T,40,35,7,7,10,1,0,1,1,0,0,0,5,0,0,4,1,1,10,0.25,4,1
7,7,2020-07-21,Hero,두산,0,T,36,35,1,1,9,1,0,0,0,0,0,0,1,0,0,9,0,0,14,0.166666667,6,1
8,8,2020-07-21,삼성,NC,0,T,41,36,5,5,9,0,0,1,3,0,1,0,4,0,0,7,2,2,13,0.285714286,7,2
9,9,2020-07-21,한화,KIA,0,B,32,29,2,2,3,0,0,1,0,0,0,0,2,0,1,7,1,1,6,0,0,0
10,10,2020-07-22,KIA,한화,0,T,37,30,2,2,5,0,0,0,0,0,3,0,3,0,1,10,0,0,16,0.111111111,9,1
11,11,2020-07-22,한화,KIA,0,B,35,29,1,1,4,1,0,0,0,0,1,0,5,0,0,14,1,1,15,0,6,0
12,12,2020-07-24,LG,두산,0,T,46,40,8,8,15,2,1,2,1,0,0,0,5,1,1,3,1,1,23,0.25,12,3
13,13,2020-07-24,롯데,키움,0,T,40,33,3,4,9,1,0,0,2,0,0,0,6,0,0,8,0,0,22,0.181818182,11,2
14,14,2020-07-24,SK,한화,0,T,40,34,7,7,8,1,0,3,1,0,1,1,5,0,0,13,0,0,14,0.2,5,1
15,15,2020-07-24,NC,KT,0,T,37,32,3,3,7,2,0,1,1,0,2,0,3,0,0,11,0,0,12,0.333333333,6,2
16,16,2020-07-24,두산,LG,0,B,35,31,1,1,8,3,0,0,1,0,0,0,4,0,0,4,2,2,12,0.166666667,6,1
17,17,2020-07-24,Hero,롯데,0,B,34,31,2,2,6,2,0,1,1,0,1,1,2,0,0,12,1,1,8,0.2,5,1
18,18,2020-07-24,KT,NC,0,B,39,33,1,2,6,1,0,1,2,0,0,0,6,0,0,10,0,0,20,0,11,0
19,19,2020-07-24,한화,SK,0,B,36,29,3,4,5,0,0,0,1,0,0,0,7,0,0,11,1,1,22,0.25,8,2
20,20,2020-07-25,KIA,삼성,0,T,37,31,8,8,11,2,0,0,0,0,3,1,3,1,0,9,1,1,11,0.5,10,5
21,21,2020-07-25,두산,LG,0,T,34,31,7,7,10,4,0,1,0,0,1,1,2,0,0,6,0,0,6,0.571428571,7,4
22,22,2020-07-25,KT,NC,0,B,33,29,6,6,8,4,0,1,0,0,0,0,4,0,0,9,2,2,11,0.333333333,9,3
23,23,2020-07-25,롯데,키움,0,T,40,35,6,6,9,2,0,0,0,0,0,0,3,0,2,11,0,0,15,0.4,10,4
24,24,2020-07-25,LG,두산,0,B,36,35,2,3,10,3,0,0,0,0,0,0,1,0,0,8,3,3,17,0.428571429,7,3
25,25,2020-07-25,삼성,KIA,0,B,38,32,2,2,7,1,0,0,1,0,0,0,6,0,0,10,0,0,14,0,5,0
26,26,2020-07-25,NC,KT,0,T,36,31,2,2,6,0,0,0,0,0,1,1,4,0,0,3,0,0,12,0.25,4,1
27,27,2020-07-25,Hero,롯데,0,B,36,27,3,3,3,1,0,0,0,0,2,1,6,0,1,8,1,1,11,0.166666667,6,1
28,28,2020-07-26,Hero,롯데,0,B,40,35,8,8,13,4,0,0,0,0,0,0,4,1,1,5,1,1,21,0.3125,16,5
29,29,2020-07-26,KIA,삼성,0,B,41,37,6,8,12,2,1,0,0,0,0,0,3,0,1,5,0,0,19,0.384615385,13,5
30,30,2020-07-26,SK,한화,0,T,42,35,7,7,10,2,0,0,1,0,0,0,5,0,2,5,1,1,23,0.3125,16,5
31,31,2020-07-26,KT,NC,0,B,36,34,5,5,8,0,0,3,2,0,0,0,2,0,0,8,1,1,14,0.166666667,6,1
32,32,2020-07-26,LG,두산,0,T,36,33,4,4,7,0,1,0,2,0,1,1,2,0,0,8,1,1,16,0.166666667,6,1
33,33,2020-07-26,삼성,KIA,0,T,43,36,5,5,12,4,0,1,1,0,3,1,4,0,0,4,0,0,17,0.083333333,12,1
34,34,2020-07-26,두산,LG,0,B,40,32,3,3,8,2,0,1,0,0,1,0,6,1,1,5,1,1,16,0.333333333,9,3
35,35,2020-07-26,한화,SK,0,B,38,34,4,4,8,2,0,1,0,0,0,0,4,0,0,8,1,1,12,0.2,5,1
36,36,2020-07-26,롯데,키움,0,T,37,34,1,1,8,3,0,0,1,0,0,0,3,0,0,4,2,2,21,0.2,10,2
37,37,2020-07-26,NC,KT,0,T,34,32,4,4,7,1,0,2,1,0,1,1,1,0,0,7,1,1,7,0.25,4,1
38,38,2020-07-27,SK,HH,0,T,37,32,5,5,10,3,0,1,1,0,1,0,3,0,1,5,3,3,11,0.428571429,7,3
39,39,2020-07-27,한화,SK,0,B,35,29,5,5,5,3,0,0,1,0,1,0,5,0,0,5,2,2,11,0.285714286,7,2
40,40,2020-07-28,LG,SK,0,T,58,49,23,24,23,3,1,6,0,0,0,0,7,1,2,6,1,1,24,0.421052632,19,8
41,41,2020-07-28,롯데,NC,0,B,46,36,11,11,14,3,0,2,0,0,2,1,8,1,0,6,1,1,15,0.5,10,5
42,42,2020-07-28,Hero,두산,0,T,43,34,5,6,8,2,0,1,0,0,2,1,5,1,2,6,0,0,19,0.166666667,12,2
43,43,2020-07-28,NC,롯데,0,T,46,42,8,9,17,3,0,2,2,0,0,0,4,0,0,7,1,1,17,0.4,10,4
44,44,2020-07-28,두산,키움,0,B,38,36,2,2,9,2,0,1,0,0,0,0,2,0,0,4,0,0,15,0.111111111,9,1
45,45,2020-07-28,SK,LG,0,B,41,34,7,7,8,3,0,2,0,0,0,0,5,0,2,10,1,1,23,0.214285714,14,3
46,46,2020-07-29,한화,삼성,0,T,49,44,8,12,18,1,0,1,0,0,1,1,3,0,1,7,1,1,21,0.5,14,7
47,47,2020-07-29,LG,SK,0,T,45,36,11,11,13,0,0,3,1,0,0,0,8,0,1,7,2,2,14,0.5,12,6
48,48,2020-07-29,SK,LG,0,B,44,40,6,6,14,1,0,4,2,0,0,0,3,0,1,5,0,0,22,0.153846154,13,2
