,P_HIT_CN,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN
0,5,0,2020-07-21,HT,HH,0,T,50,41,9,10,16,2,0,2,0,0,0,0,8,0.0,1,8,2,2,26,0.333333333,15
1,4,1,2020-07-21,SK,LT,0,B,40,34,8,8,13,1,0,3,2,0,2,1,4,0.0,0,6,1,1,11,0.5,8
2,4,2,2020-07-21,KT,LG,0,B,39,34,10,10,12,0,0,3,1,0,1,0,4,0.0,0,7,1,1,9,0.5,8
3,3,3,2020-07-21,NC,SS,0,B,42,38,6,6,13,3,0,3,0,0,1,0,2,1.0,1,7,0,0,9,0.428571429,7
4,4,4,2020-07-21,OB,WO,0,B,32,31,6,6,7,2,1,1,2,0,0,0,1,0.0,0,6,0,0,4,0.8,5
5,2,5,2020-07-21,LG,KT,0,T,44,38,9,9,13,4,0,2,0,0,0,0,6,0.0,0,7,1,1,21,0.2,10
6,1,6,2020-07-21,LT,SK,0,T,40,35,7,7,10,1,0,1,1,0,0,0,5,0.0,0,4,1,1,10,0.25,4
7,1,7,2020-07-21,Hero,OB,0,T,36,35,1,1,9,1,0,0,0,0,0,0,1,0.0,0,9,0,0,14,0.166666667,6
8,2,8,2020-07-21,SS,NC,0,T,41,36,5,5,9,0,0,1,3,0,1,0,4,0.0,0,7,2,2,13,0.28571428600000004,7
9,0,9,2020-07-21,HH,HT,0,B,32,29,2,2,3,0,0,1,0,0,0,0,2,0.0,1,7,1,1,6,0.0,0
10,1,10,2020-07-22,HT,HH,0,T,37,30,2,2,5,0,0,0,0,0,3,0,3,0.0,1,10,0,0,16,0.111111111,9
11,0,11,2020-07-22,HH,HT,0,B,35,29,1,1,4,1,0,0,0,0,1,0,5,0.0,0,14,1,1,15,0.0,6
12,2,12,2020-07-24,HH,SK,0,B,36,29,3,4,5,0,0,0,1,0,0,0,7,0.0,0,11,1,1,22,0.25,8
13,0,13,2020-07-24,KT,NC,0,B,39,33,1,2,6,1,0,1,2,0,0,0,6,0.0,0,10,0,0,20,0.0,11
14,1,14,2020-07-24,Hero,LT,0,B,34,31,2,2,6,2,0,1,1,0,1,1,2,0.0,0,12,1,1,8,0.2,5
15,1,15,2020-07-24,OB,LG,0,B,35,31,1,1,8,3,0,0,1,0,0,0,4,0.0,0,4,2,2,12,0.166666667,6
16,1,16,2020-07-24,SK,HH,0,T,40,34,7,7,8,1,0,3,1,0,1,1,5,0.0,0,13,0,0,14,0.2,5
17,2,17,2020-07-24,LT,WO,0,T,40,33,3,4,9,1,0,0,2,0,0,0,6,0.0,0,8,0,0,22,0.181818182,11
18,3,18,2020-07-24,LG,OB,0,T,46,40,8,8,15,2,1,2,1,0,0,0,5,1.0,1,3,1,1,23,0.25,12
19,2,19,2020-07-24,NC,KT,0,T,37,32,3,3,7,2,0,1,1,0,2,0,3,0.0,0,11,0,0,12,0.333333333,6
20,3,20,2020-07-25,LG,OB,0,B,36,35,2,3,10,3,0,0,0,0,0,0,1,0.0,0,8,3,3,17,0.428571429,7
21,5,21,2020-07-25,HT,SS,0,T,37,31,8,8,11,2,0,0,0,0,3,1,3,1.0,0,9,1,1,11,0.5,10
22,4,22,2020-07-25,OB,LG,0,T,34,31,7,7,10,4,0,1,0,0,1,1,2,0.0,0,6,0,0,6,0.571428571,7
23,3,23,2020-07-25,KT,NC,0,B,33,29,6,6,8,4,0,1,0,0,0,0,4,0.0,0,9,2,2,11,0.333333333,9
24,4,24,2020-07-25,LT,WO,0,T,40,35,6,6,9,2,0,0,0,0,0,0,3,0.0,2,11,0,0,15,0.4,10
25,0,25,2020-07-25,SS,HT,0,B,38,32,2,2,7,1,0,0,1,0,0,0,6,0.0,0,10,0,0,14,0.0,5
26,1,26,2020-07-25,NC,KT,0,T,36,31,2,2,6,0,0,0,0,0,1,1,4,0.0,0,3,0,0,12,0.25,4
27,1,27,2020-07-25,Hero,LT,0,B,36,27,3,3,3,1,0,0,0,0,2,1,6,0.0,1,8,1,1,11,0.166666667,6
28,1,28,2020-07-26,HH,SK,0,B,38,34,4,4,8,2,0,1,0,0,0,0,4,0.0,0,8,1,1,12,0.2,5
29,3,29,2020-07-26,OB,LG,0,B,40,32,3,3,8,2,0,1,0,0,1,0,6,1.0,1,5,1,1,16,0.333333333,9
30,1,30,2020-07-26,NC,KT,0,T,34,32,4,4,7,1,0,2,1,0,1,1,1,0.0,0,7,1,1,7,0.25,4
31,2,31,2020-07-26,LT,WO,0,T,37,34,1,1,8,3,0,0,1,0,0,0,3,0.0,0,4,2,2,21,0.2,10
32,1,32,2020-07-26,SS,HT,0,T,43,36,5,5,12,4,0,1,1,0,3,1,4,0.0,0,4,0,0,17,0.083333333,12
33,1,33,2020-07-26,KT,NC,0,B,36,34,5,5,8,0,0,3,2,0,0,0,2,0.0,0,8,1,1,14,0.166666667,6
34,5,34,2020-07-26,SK,HH,0,T,42,35,7,7,10,2,0,0,1,0,0,0,5,0.0,2,5,1,1,23,0.3125,16
35,5,35,2020-07-26,HT,SS,0,B,41,37,6,8,12,2,1,0,0,0,0,0,3,0.0,1,5,0,0,19,0.384615385,13
36,5,36,2020-07-26,Hero,LT,0,B,40,35,8,8,13,4,0,0,0,0,0,0,4,1.0,1,5,1,1,21,0.3125,16
37,1,37,2020-07-26,LG,OB,0,T,36,33,4,4,7,0,1,0,2,0,1,1,2,0.0,0,8,1,1,16,0.166666667,6
38,3,38,2020-07-27,SK,HH,0,T,37,32,5,5,10,3,0,1,1,0,1,0,3,0.0,1,5,3,3,11,0.428571429,7
39,2,39,2020-07-27,HH,SK,0,B,35,29,5,5,5,3,0,0,1,0,1,0,5,0.0,0,5,2,2,11,0.28571428600000004,7
40,8,40,2020-07-28,LG,SK,0,T,58,49,23,24,23,3,1,6,0,0,0,0,7,1.0,2,6,1,1,24,0.42105263200000004,19
41,5,41,2020-07-28,LT,NC,0,B,46,36,11,11,14,3,0,2,0,0,2,1,8,1.0,0,6,1,1,15,0.5,10
42,2,42,2020-07-28,Hero,OB,0,T,43,34,5,6,8,2,0,1,0,0,2,1,5,1.0,2,6,0,0,19,0.166666667,12
43,4,43,2020-07-28,NC,LT,0,T,46,42,8,9,17,3,0,2,2,0,0,0,4,0.0,0,7,1,1,17,0.4,10
44,1,44,2020-07-28,OB,WO,0,B,38,36,2,2,9,2,0,1,0,0,0,0,2,0.0,0,4,0,0,15,0.111111111,9
45,3,45,2020-07-28,SK,LG,0,B,41,34,7,7,8,3,0,2,0,0,0,0,5,0.0,2,10,1,1,23,0.214285714,14
46,2,46,2020-07-29,SK,LG,0,B,44,40,6,6,14,1,0,4,2,0,0,0,3,0.0,1,5,0,0,22,0.153846154,13
47,1,47,2020-07-29,SS,HH,0,B,44,34,7,7,9,1,0,2,1,0,0,0,8,0.0,2,7,1,1,23,0.111111111,9
48,7,48,2020-07-29,HH,SS,0,T,49,44,8,12,18,1,0,1,0,0,1,1,3,0.0,1,7,1,1,21,0.5,14
49,6,49,2020-07-29,LG,SK,0,T,45,36,11,11,13,0,0,3,1,0,0,0,8,0.0,1,7,2,2,14,0.5,12
50,0,50,2020-07-30,HH,SS,0,T,42,36,1,1,3,0,0,0,0,0,0,0,4,0.0,2,12,0,0,21,0.0,5
51,5,51,2020-07-30,Hero,OB,0,T,39,34,8,8,13,2,0,1,2,0,1,0,3,0.0,1,2,2,2,14,0.5,10
52,4,52,2020-07-30,KT,HT,0,T,38,31,4,4,11,2,0,0,1,0,2,0,3,0.0,2,6,1,1,17,0.363636364,11
53,7,53,2020-07-30,LG,SK,0,T,45,39,9,9,13,3,0,1,1,0,0,0,5,0.0,1,6,1,1,20,0.46666666700000003,15
54,1,54,2020-07-30,SS,HH,0,B,46,36,1,2,6,2,0,0,3,0,2,0,7,1.0,1,12,0,0,23,0.066666667,15
55,1,55,2020-07-30,OB,WO,0,B,41,36,5,5,10,0,0,2,2,0,1,0,3,0.0,1,8,0,0,17,0.14285714300000002,7
56,0,56,2020-07-30,HT,KT,0,B,36,33,1,1,8,3,0,0,0,0,1,0,1,0.0,1,8,1,1,15,0.0,7
57,1,57,2020-07-30,SK,LG,0,B,34,30,1,1,4,3,0,0,0,0,0,0,3,0.0,1,8,0,0,11,0.125,8
58,2,58,2020-07-31,LT,HT,0,B,36,33,1,2,6,2,0,0,0,0,0,0,3,0.0,0,5,3,3,23,0.181818182,11
59,2,59,2020-07-31,SS,WO,0,B,40,35,3,3,8,1,0,0,0,0,0,0,3,1.0,2,5,0,0,22,0.181818182,11
60,0,60,2020-07-31,SK,KT,0,T,36,31,1,1,4,0,0,1,0,0,0,0,5,0.0,0,5,1,1,14,0.0,2
61,1,61,2020-07-31,LG,HH,0,B,31,29,1,1,4,2,0,0,0,0,0,0,2,0.0,0,9,0,0,7,0.2,5
62,4,62,2020-07-31,OB,NC,0,T,44,39,7,7,14,2,0,1,2,0,1,0,4,0.0,0,8,1,1,21,0.28571428600000004,14
63,6,63,2020-07-31,NC,OB,0,B,42,37,10,10,14,4,0,1,2,0,0,0,3,0.0,2,7,1,1,15,0.4,15
64,5,64,2020-07-31,Hero,SS,0,T,42,36,9,10,10,2,0,3,1,0,0,0,6,0.0,0,7,1,1,15,0.41666666700000005,12
65,1,65,2020-07-31,HH,LG,0,T,37,34,2,2,10,1,0,0,0,0,1,1,2,0.0,0,4,0,0,15,0.125,8
66,1,66,2020-07-31,HT,LT,0,T,38,34,2,3,8,1,0,0,0,0,0,0,4,0.0,0,10,1,1,19,0.166666667,6
67,5,67,2020-07-31,KT,SK,0,B,42,39,11,11,16,3,0,4,0,0,0,0,3,0.0,0,8,0,0,17,0.454545455,11
68,0,68,2020-08-01,SK,KT,0,T,34,32,0,0,6,1,0,0,0,0,0,0,2,0.0,0,5,1,1,10,0.0,4
69,3,69,2020-08-01,HH,LG,0,T,40,34,6,6,8,2,0,1,1,0,0,0,5,0.0,1,8,0,0,17,0.3,10
70,2,70,2020-08-01,HT,LT,0,T,36,34,3,3,9,2,0,1,0,0,0,0,2,0.0,0,9,1,1,12,0.28571428600000004,7
71,5,71,2020-08-01,NC,OB,0,B,52,45,10,10,15,4,0,2,2,0,0,0,7,0.0,0,8,0,0,20,0.35714285700000004,14
72,4,72,2020-08-01,SS,WO,0,B,40,34,7,7,8,4,0,0,0,0,0,0,4,0.0,2,8,0,0,10,0.666666667,6
73,1,73,2020-08-01,KT,SK,0,B,41,36,10,11,13,1,1,3,0,0,0,0,5,0.0,0,2,2,2,22,0.111111111,9
74,10,74,2020-08-01,OB,NC,0,T,51,45,12,12,17,2,1,0,2,0,2,1,4,1.0,0,9,1,1,19,0.666666667,15
75,8,75,2020-08-01,LG,HH,0,B,41,39,9,9,15,3,0,0,0,0,0,0,1,0.0,1,7,0,0,17,0.615384615,13
76,12,76,2020-08-01,Hero,SS,0,T,62,48,21,22,23,7,0,1,1,0,2,1,11,0.0,1,6,0,0,26,0.48,25
77,1,77,2020-08-01,LT,HT,0,B,37,31,6,7,10,3,0,2,0,0,1,1,5,0.0,0,3,2,2,20,0.090909091,11
78,8,78,2020-08-02,LT,HT,0,B,39,34,8,8,11,4,0,0,0,0,1,0,4,0.0,0,6,2,2,17,0.090909091,15
79,4,79,2020-08-02,OB,OB,0,T,51,48,7,7,15,5,0,0,2,0,1,1,2,0.0,0,8,2,2,19,0.307692308,13
80,2,80,2020-08-02,Hero,SS,0,T,41,38,4,4,10,2,0,0,0,0,1,1,2,1.0,0,4,2,2,14,0.333333333,6
81,1,81,2020-08-02,SS,WO,0,B,41,39,2,2,10,1,0,1,1,0,0,0,2,0.0,0,8,0,0,11,0.166666667,6
82,2,82,2020-08-02,NC,OB,0,B,47,42,4,4,8,1,0,2,0,0,0,0,3,0.0,2,10,1,1,17,0.222222222,9
83,0,83,2020-08-02,HT,LT,0,T,32,30,0,0,4,2,0,0,0,0,0,0,2,0.0,0,10,1,1,13,0.0,6
84,0,84,2020-08-04,OB,SS,0,B,37,36,3,3,9,1,0,1,0,0,0,0,1,0.0,0,4,0,0,13,0.0,6
85,2,85,2020-08-04,HT,LG,0,B,40,36,5,5,8,1,0,1,0,0,0,0,4,0.0,0,10,0,0,18,0.333333333,6
86,1,86,2020-08-04,Hero,KT,0,B,38,34,2,2,10,0,0,1,0,0,1,0,3,0.0,0,7,2,2,13,0.2,5
87,0,87,2020-08-04,SK,LT,0,B,33,31,0,0,6,1,0,0,0,0,0,0,2,0.0,0,6,1,1,12,0.0,3
88,2,88,2020-08-04,KT,WO,0,T,38,32,3,4,11,1,0,0,1,0,2,0,4,0.0,0,9,3,3,18,0.166666667,12
89,5,89,2020-08-04,LT,SK,0,T,46,41,8,8,15,3,0,1,0,0,0,0,4,0.0,1,2,1,1,21,0.41666666700000005,12
90,7,90,2020-08-04,LG,HT,0,T,47,41,15,15,16,1,2,3,0,0,0,0,5,0.0,1,9,1,1,16,0.538461538,13
91,3,91,2020-08-04,SS,OB,0,T,41,34,5,6,7,2,0,1,1,0,0,0,6,1.0,1,10,0,0,20,0.333333333,9
92,0,92,2020-08-05,OB,SS,0,B,32,28,2,2,4,0,0,0,1,0,0,0,3,0.0,1,4,0,0,14,0.0,6
93,2,93,2020-08-05,SS,OB,0,T,40,34,2,2,12,2,0,0,1,0,2,0,4,2.0,0,4,1,1,22,0.166666667,12
94,2,94,2020-08-05,NC,HH,0,T,43,30,5,5,6,0,1,0,0,0,2,1,9,1.0,2,4,1,1,18,0.181818182,11
95,3,95,2020-08-05,HT,LG,0,B,38,35,4,4,9,1,0,0,1,0,1,0,2,0.0,0,11,0,0,13,0.5,6
96,3,96,2020-08-05,LG,HT,0,T,41,35,6,6,11,3,0,2,0,0,1,0,5,0.0,0,10,2,2,15,0.3,10
97,3,97,2020-08-05,HH,NC,0,B,43,33,6,8,12,2,0,1,0,0,3,2,5,0.0,2,5,2,2,17,0.25,12
98,8,98,2020-08-05,Hero,KT,0,B,46,40,12,12,15,2,0,1,0,0,0,0,5,0.0,1,7,0,0,30,2.125,17
99,2,99,2020-08-05,KT,WO,0,T,36,34,3,3,10,1,0,1,0,0,0,0,1,0.0,1,3,1,1,10,0.28571428600000004,7
100,0,100,2020-08-06,KT,WO,0,T,34,32,2,2,4,1,0,1,1,0,0,0,2,0.0,0,9,0,0,12,0.0,7
101,0,101,2020-08-06,LG,HT,0,T,30,28,1,1,4,0,0,0,0,0,1,1,1,0.0,0,7,0,0,2,0.0,0
102,1,102,2020-08-06,HH,NC,0,B,34,29,1,1,5,0,0,0,0,0,1,0,4,0.0,0,6,1,1,11,0.2,5
103,2,103,2020-08-06,SK,LT,0,T,35,33,2,2,8,1,0,1,0,0,1,1,1,0.0,0,8,1,1,13,0.4,5
104,1,104,2020-08-06,SS,OB,0,T,40,38,2,2,11,0,0,0,3,0,0,0,2,0.0,0,7,0,0,24,0.1,10
105,3,105,2020-08-06,OB,SS,0,B,36,31,5,5,7,1,1,0,0,0,1,0,4,0.0,0,7,0,0,15,0.23076923100000002,13
106,1,106,2020-08-06,NC,HH,0,T,39,32,4,4,8,1,0,2,0,0,0,0,7,0.0,0,4,1,1,17,0.14285714300000002,7
107,0,107,2020-08-06,Hero,KT,0,B,35,28,3,3,7,2,0,1,1,0,2,1,5,1.0,0,4,1,1,15,0.470588235,8
108,5,108,2020-08-06,HT,LG,0,B,42,35,13,13,12,3,0,4,2,0,0,0,6,0.0,1,8,1,1,17,0.384615385,13
109,0,109,2020-08-06,LT,SK,0,B,39,33,8,8,6,0,0,2,0,0,0,0,4,0.0,2,6,0,0,10,0.0,2
110,2,110,2020-08-07,LT,OB,0,T,49,39,7,8,12,2,0,2,0,0,1,1,8,0.0,1,6,1,1,32,0.133333333,15
111,2,111,2020-08-07,LG,WO,0,T,39,36,5,5,10,0,1,1,0,0,1,1,2,0.0,0,10,1,1,17,0.25,8
112,1,112,2020-08-07,SS,SK,0,T,36,29,2,2,6,1,0,1,2,0,1,0,4,0.0,2,7,1,1,12,0.2,5
113,2,113,2020-08-07,OB,LT,0,B,38,35,4,4,11,1,0,0,2,0,2,2,1,0.0,0,2,1,1,12,0.28571428600000004,7
114,0,114,2020-08-07,Hero,LG,0,B,38,32,2,2,6,2,0,0,0,0,1,1,4,0.0,1,8,0,0,21,0.0,9
115,0,115,2020-08-07,SK,SS,0,B,34,32,0,0,4,1,0,0,0,0,0,0,2,0.0,0,7,0,0,16,0.0,8
116,3,116,2020-08-08,NC,HT,0,T,40,31,2,2,6,1,2,0,2,0,0,0,7,0.0,2,6,1,1,16,0.375,8
117,0,117,2020-08-08,OB,LT,0,B,16,16,1,1,3,0,0,1,0,0,0,0,0,0.0,0,0,2,2,3,0.0,0
118,0,118,2020-08-08,LT,OB,0,T,24,22,1,1,6,1,0,0,0,0,1,1,1,0.0,0,6,1,1,7,0.0,2
119,2,119,2020-08-08,LG,WO,0,T,35,32,1,1,8,2,0,1,0,0,0,0,3,0.0,0,4,0,0,7,0.666666667,3
120,0,120,2020-08-08,SS,SK,0,T,19,17,2,2,5,1,0,1,0,0,1,1,1,0.0,0,1,0,0,6,0.0,1
121,1,121,2020-08-08,HT,NC,0,B,28,28,3,3,4,1,0,1,0,0,0,0,0,0.0,0,9,0,0,1,0.5,2
122,1,122,2020-08-08,SK,SS,0,B,22,19,2,4,3,2,1,0,0,0,0,0,2,0.0,1,0,0,0,11,0.14285714300000002,7
123,2,123,2020-08-08,Hero,LG,0,B,35,32,5,5,9,1,0,1,1,0,0,0,3,0.0,0,7,1,1,14,0.25,8
124,5,124,2020-08-09,NC,HT,0,T,45,39,7,8,14,2,1,1,0,0,0,0,5,0.0,1,8,2,2,21,0.333333333,15
125,3,125,2020-08-09,KT,HH,0,T,42,37,6,6,12,5,0,1,0,0,0,0,5,0.0,0,9,1,1,22,0.25,12
126,1,126,2020-08-09,Hero,LG,0,B,34,28,1,2,7,0,0,0,2,0,2,0,3,0.0,1,6,2,2,19,0.1,10
127,1,127,2020-08-09,HH,KT,0,B,38,34,2,3,8,1,0,1,0,0,1,1,3,0.0,0,12,1,1,18,0.1,10
128,0,128,2020-08-09,LG,WO,0,T,31,30,1,1,4,2,0,1,0,0,0,0,1,0.0,0,8,1,1,7,0.0,4
129,0,129,2020-08-09,HT,NC,0,B,41,32,1,1,4,0,0,0,0,0,0,0,9,0.0,0,7,0,0,28,0.0,9
130,0,130,2020-08-11,SK,SK,0,T,34,30,0,1,4,0,0,0,0,0,0,0,4,0.0,0,8,2,2,16,0.0,4
131,3,131,2020-08-11,LG,HT,0,B,37,36,4,4,9,2,0,1,0,0,0,0,1,0.0,0,11,0,0,15,0.333333333,9
132,4,132,2020-08-11,Hero,HH,0,B,56,45,5,5,12,1,0,1,2,0,3,1,7,0.0,1,13,0,0,29,0.307692308,13
133,0,133,2020-08-11,SS,OB,0,B,36,34,1,1,8,0,0,1,0,0,0,0,2,0.0,0,5,1,1,17,0.0,4
134,4,134,2020-08-11,OB,SS,0,T,39,33,6,6,9,1,0,1,0,0,0,0,6,0.0,0,4,2,2,20,0.28571428600000004,14
135,5,135,2020-08-11,HT,LG,0,T,43,35,8,8,11,3,0,0,0,0,1,0,6,0.0,1,3,1,1,19,0.454545455,11
136,3,136,2020-08-11,KT,SK,0,B,38,31,6,6,11,2,0,1,0,0,1,1,6,0.0,0,8,2,2,13,0.333333333,9
137,3,137,2020-08-11,HH,WO,0,T,55,44,7,7,10,1,0,1,0,0,3,1,6,1.0,2,10,0,0,27,0.214285714,14
138,0,138,2020-08-12,HT,LG,0,T,35,29,0,0,2,0,0,0,0,0,0,0,5,0.0,1,14,0,0,13,0.0,6
139,0,139,2020-08-12,KT,SK,0,B,30,27,1,2,2,1,0,0,0,0,0,0,2,0.0,1,3,2,2,8,0.0,4
140,1,140,2020-08-12,HH,WO,0,T,38,34,2,2,4,1,0,1,1,0,0,0,2,0.0,2,8,0,0,9,0.25,4
141,2,141,2020-08-12,NC,LT,0,T,41,35,4,4,9,1,0,0,0,0,1,0,5,0.0,0,8,0,0,24,0.25,8
142,4,142,2020-08-12,SS,OB,0,B,43,42,7,8,16,4,0,2,0,0,0,0,1,0.0,0,6,1,1,20,0.307692308,13
143,5,143,2020-08-12,SK,KT,0,T,46,36,11,11,12,3,0,1,1,0,0,0,9,0.0,1,5,1,1,21,0.35714285700000004,14
144,7,144,2020-08-12,LG,HT,0,B,37,34,8,8,12,5,0,0,1,0,0,0,3,0.0,0,9,2,2,11,0.538461538,13
145,3,145,2020-08-12,LT,NC,0,B,41,33,8,8,13,3,0,1,0,0,2,0,4,0.0,2,4,1,1,22,0.214285714,14
146,9,146,2020-08-12,OB,SS,0,T,50,45,14,15,24,2,0,2,0,0,2,2,3,0.0,0,2,3,3,18,0.473684211,19
147,1,147,2020-08-12,Hero,HH,0,B,39,30,3,3,9,2,0,1,1,0,2,1,6,0.0,1,3,3,3,19,0.090909091,11
148,1,148,2020-08-13,KT,SK,0,B,48,36,5,6,10,2,0,1,1,0,1,1,11,0.0,0,17,1,1,34,0.076923077,13
149,0,149,2020-08-13,OB,SS,0,T,39,28,2,2,4,0,0,1,1,0,2,1,9,0.0,0,11,1,1,15,0.0,4
150,1,150,2020-08-13,HT,LG,0,T,33,32,1,2,5,1,0,1,1,0,0,0,1,0.0,0,8,0,0,8,0.2,5
151,1,151,2020-08-13,LT,NC,0,B,33,33,2,2,7,1,0,0,0,0,0,0,0,0.0,0,6,1,1,12,0.25,4
152,2,152,2020-08-13,HH,WO,0,T,39,32,3,3,9,0,0,0,0,0,1,0,5,0.0,1,10,2,2,15,0.25,8
153,1,153,2020-08-13,LG,HT,0,B,35,29,4,4,8,1,0,2,0,0,1,0,4,0.0,1,6,0,0,13,0.166666667,6
154,3,154,2020-08-13,Hero,HH,0,B,36,31,6,6,11,1,1,1,1,0,2,0,3,0.0,0,4,1,1,17,0.272727273,11
155,5,155,2020-08-13,NC,LT,0,T,43,39,8,9,14,1,0,1,0,0,0,0,3,0.0,1,7,1,1,19,0.41666666700000005,12
156,5,156,2020-08-13,SK,KT,0,T,47,41,10,10,16,1,0,1,0,0,2,2,4,0.0,0,5,0,0,26,0.3125,16
157,1,157,2020-08-13,SS,OB,0,B,38,33,3,3,9,1,0,2,1,0,0,0,4,0.0,1,5,0,0,18,0.125,8
158,1,158,2020-08-14,Hero,LT,0,B,35,32,1,1,5,2,0,0,0,0,0,0,3,0.0,0,7,1,1,16,0.125,8
159,1,159,2020-08-14,HH,SS,0,B,33,30,1,1,4,1,0,0,0,0,0,0,2,0.0,1,8,1,1,10,0.2,5
160,4,160,2020-08-14,NC,LG,0,B,40,36,4,4,8,3,0,0,1,0,0,0,3,0.0,1,13,0,0,14,0.444444444,9
161,0,161,2020-08-14,OB,KT,0,B,53,45,3,3,10,0,0,2,2,0,0,0,8,2.0,0,9,1,1,25,0.0,11
162,5,162,2020-08-14,SK,HT,0,T,43,31,6,6,12,1,0,0,3,0,3,1,8,0.0,1,6,2,2,19,0.333333333,15
