G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER
20200721LGKT0,20200721,LG,KT,0,T,0,L,0.0,24.0,150,39,34,12.0,0.0,0.0,3.0,1.0,0.0,1,0,4.0,0.0,0.0,7.0,1,1.0,1.0,1,10,10
20200721HHHT0,20200721,HH,HT,0,B,0,L,0.0,27.0,222,50,41,16.0,2.0,0.0,2.0,0.0,1.0,0,0,8.0,0.0,1.0,8.0,2,2.0,0.0,2,10,9
20200721LTSK0,20200721,LT,SK,0,T,0,L,2.0,24.299999999999997,166,40,34,13.0,1.0,0.0,3.0,2.0,0.0,2,1,4.0,0.0,0.0,6.0,1,0.0,0.0,1,8,8
20200721WOOB0,20200721,WO,OB,0,T,0,L,0.0,24.0,121,32,31,7.0,2.0,1.0,1.0,2.0,0.0,0,0,1.0,0.0,0.0,6.0,0,0.0,0.0,0,6,6
20200721SSNC0,20200721,SS,NC,0,T,0,L,0.0,27.299999999999997,162,42,38,13.0,3.0,0.0,3.0,0.0,2.0,1,0,2.0,1.0,1.0,7.0,0,0.0,0.0,0,6,6
20200721OBWO0,20200721,OB,WO,0,B,0,W,0.0,27.0,143,36,35,9.0,1.0,0.0,0.0,0.0,1.0,0,0,1.0,0.0,0.0,9.0,0,0.0,0.0,0,1,1
20200721SKLT0,20200721,SK,LT,0,B,0,W,0.0,27.0,161,40,35,10.0,1.0,0.0,1.0,1.0,0.0,0,0,5.0,0.0,0.0,4.0,1,0.0,0.0,1,7,7
20200721NCSS0,20200721,NC,SS,0,B,0,W,3.0,30.0,182,41,36,9.0,0.0,0.0,1.0,3.0,0.0,1,0,4.0,0.0,0.0,7.0,2,0.0,0.0,2,5,5
20200721HTHH0,20200721,HT,HH,0,T,0,W,0.0,27.0,133,32,29,3.0,0.0,0.0,1.0,0.0,0.0,0,0,2.0,0.0,1.0,7.0,1,0.0,0.0,1,2,2
20200721KTLG0,20200721,KT,LG,0,B,0,W,1.0,27.0,168,44,38,13.0,4.0,0.0,2.0,0.0,1.0,0,0,6.0,0.0,0.0,7.0,1,0.0,0.0,1,9,9
20200722HHHT0,20200722,HH,HT,0,B,0,L,0.0,27.0,148,37,30,5.0,0.0,0.0,0.0,0.0,0.0,3,0,3.0,0.0,1.0,10.0,0,0.0,1.0,0,2,2
20200722HTHH0,20200722,HT,HH,0,T,0,W,2.0,27.0,153,35,29,4.0,1.0,0.0,0.0,0.0,0.0,1,0,5.0,0.0,0.0,14.0,1,1.0,0.0,1,1,1
20200724OBLG0,20200724,OB,LG,0,B,0,L,0.0,27.0,170,46,40,15.0,2.0,1.0,2.0,1.0,0.0,0,0,5.0,1.0,1.0,3.0,1,0.0,0.0,1,8,8
20200724WOLT0,20200724,WO,LT,0,B,0,L,0.0,27.0,176,40,33,9.0,1.0,0.0,0.0,2.0,2.0,0,0,6.0,0.0,0.0,8.0,0,2.0,0.0,0,4,4
20200724HHSK0,20200724,HH,SK,0,B,0,L,0.0,27.0,164,40,34,8.0,1.0,0.0,3.0,1.0,0.0,1,1,5.0,0.0,0.0,13.0,0,0.0,0.0,0,7,7
20200724SKHH0,20200724,SK,HH,0,T,0,W,2.0,27.0,163,36,29,5.0,0.0,0.0,0.0,1.0,2.0,0,0,7.0,0.0,0.0,11.0,1,1.0,0.0,1,4,4
20200724NCKT0,20200724,NC,KT,0,T,0,W,1.0,27.0,154,37,33,6.0,1.0,0.0,1.0,2.0,1.0,0,0,6.0,0.0,0.0,10.0,0,1.0,0.0,0,2,1
20200724LTWO0,20200724,LT,WO,0,T,0,W,3.0,27.0,142,34,31,6.0,2.0,0.0,1.0,1.0,0.0,1,1,2.0,0.0,0.0,12.0,1,1.0,0.0,1,2,2
20200724LGOB0,20200724,LG,OB,0,T,0,W,0.0,27.0,134,35,31,8.0,3.0,0.0,0.0,1.0,1.0,0,0,4.0,0.0,0.0,4.0,2,0.0,0.0,2,1,1
20200724KTNC0,20200724,KT,NC,0,B,0,L,0.0,27.0,152,37,32,7.0,2.0,0.0,1.0,1.0,0.0,2,0,3.0,0.0,0.0,11.0,0,0.0,0.0,0,3,3
20200725SSHT0,20200725,SS,HT,0,B,0,L,0.0,24.0,164,37,31,11.0,2.0,0.0,0.0,0.0,0.0,3,1,3.0,1.0,0.0,9.0,1,0.0,0.0,1,8,8
20200725LGOB0,20200725,LG,OB,0,B,0,L,0.0,24.0,149,34,31,10.0,4.0,0.0,1.0,0.0,1.0,1,1,2.0,0.0,0.0,6.0,0,0.0,0.0,0,7,7
20200725NCKT0,20200725,NC,KT,0,B,0,L,0.0,24.0,141,33,29,8.0,4.0,0.0,1.0,0.0,1.0,0,0,4.0,0.0,0.0,9.0,2,0.0,0.0,2,6,6
20200725LTWO0,20200725,LT,WO,0,B,0,W,1.0,27.0,145,36,27,3.0,1.0,0.0,0.0,0.0,0.0,2,1,6.0,0.0,1.0,8.0,1,0.0,0.0,1,3,3
20200725OBLG0,20200725,OB,LG,0,T,0,W,1.0,27.0,137,36,35,10.0,3.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,8.0,3,1.0,0.0,3,3,3
